SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
O=C(O)c1ccc(Cl)c(Cl)c1,3.25,3.16,2.6916,3.16,2.89,2.76
NCCc1cnc[nH]1,-0.7,-0.73,-0.0891000000000003,-0.37,-0.34,-0.85
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,1.83,1.91,1.9309,2.25,2.21,1.72
NCCc1ccc(O)c(O)c1,-0.98,0.38,0.5989999999999998,0.38,0.74,0.72
CC(N)Cc1ccccc1,1.76,1.76,1.5763,1.76,2.24,1.63
COc1ccc(NC(C)=O)cc1,1.03,1.18,1.6535999999999995,1.18,1.38,0.93
CN(CCCl)CCCl,0.91,0.91,1.3958,1.53,1.94,1.65
CCOC(N)=O,-0.15,-0.02,0.1016000000000002,-0.02,0.11,0.16
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,2.52,2.88,4.852300000000005,3.14,3.77,3.59
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,2.4,2.14,2.1284,2.2,1.92,1.57
S=P(N1CC1)(N1CC1)N1CC1,0.53,0.61,0.1577000000000001,1.87,0.55,-0.76
COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.O=P(O)(O)O,-1.4,-1.01,0.5724999999999998,,,
CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O,1.77,2.3,1.2492,2.49,1.35,1.74
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15,1.31,0.491,1.5,0.69,0.88
O=C1NC(=O)C2(CCCCC2)C(=O)N1,0.91,0.98,0.3029,1.17,0.57,0.83
O=C1NC(=S)NC(=O)C12CCCCC2,1.78,1.85,0.4677999999999995,1.55,0.54,1.73
NC1(C(=O)O)CCCC1,-2.28,-1.67,0.3424999999999997,-1.67,0.15,0.28
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,3.79,4.8,5.093080000000005,5.83,3.23,5.53
CC(C)(S)C(N)C(=O)O,-1.78,-2.18,0.1066999999999998,-2.18,0.16,0.06
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0.51,0.42,2.1609000000000003,-0.28,0.49,0.75
COP(=S)(OC)Oc1ccc(S(=O)(=O)N(C)C)cc1,2.23,1.99,1.833,2.64,1.17,1.91
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,4.3,4.2,4.425600000000004,4.2,3.74,3.89
NC(CS)C(=O)O,-2.49,-3.05,-0.6719000000000002,-3.05,-0.7,-0.52
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.46,1.59,1.7658,0.94,1.44,1.01
CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,1.47,1.81,1.9898,1.16,1.53,1.03
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,3.13,3.43,3.817400000000003,4.12,3.54,3.77
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O,3.69,3.07,3.959100000000003,3.41,3.8,3.45
CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,3.23,2.98,3.879200000000002,3.32,3.7,3.2
CN(C)CCCN1c2ccccc2Sc2ccccc21.Cl,2.94,3.04,4.662800000000004,,,
c1ccc2c(c1)ccc1cc3c(ccc4ccccc43)cc12,6.75,6.7,6.299400000000003,6.7,5.78,5.46
COc1ccc(CC(N)C(=O)NC2C(CO)OC(n3cnc4c(N(C)C)ncnc43)C2O)cc1,0.03,-0.28,-0.7936999999999959,-2.07,-0.06,-0.21
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,4.27,4.23,3.927320000000004,4.32,3.51,4.21
COc1cc(CCN)cc(OC)c1OC,0.78,0.85,1.2136000000000002,1.58,1.12,1.21
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.63,4.5,4.810600000000004,4.33,3.51,4.38
CN1CCCC1c1cccnc1,1.17,1.0,1.8483,1.52,1.27,1.24
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.0550000000000002,-1.22,1.1223,-1.22,0.87,1.25
O=c1[nH]cc(C(F)(F)F)c(=O)[nH]1,0.04,0.1,0.0819999999999999,0.1,0.12,-0.11
O=C([O-])c1ccccc1O.[Na+],-1.43,-1.49,-3.240299999999999,,,
O=c1cnn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-2.14,-2.26,-3.4569,-2.62,-1.96,-2.57
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,2.03,2.32,1.8907000000000005,1.6,0.84,1.75
CC(=O)Oc1cc(C(C)C)c(OCCN(C)C)cc1C,3.17,3.37,2.9841200000000017,3.37,2.89,3.4
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-0.96,-0.38,-1.2181,-0.92,-0.37,-1.4
CC(N)C(O)c1cccc(O)c1,-0.27,-0.26,0.7728000000000002,-0.26,0.79,0.54
CC(C)NCC(O)c1ccc2ccccc2c1,3.0,2.35,2.871200000000001,2.35,2.85,2.49
NNC(=O)c1ccncc1,-0.7,-0.81,-0.3149000000000006,-1.95,-0.28,-0.81
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,0.42,0.25,1.2272,0.25,1.38,0.65
CC(C)NNC(=O)c1ccncc1,0.37,0.56,0.7243999999999996,0.56,0.72,0.51
C1CCc2nnnn2CC1,0.14,0.87,0.3994999999999998,0.87,1.26,0.95
CCN(CC)N=O,0.48,0.34,1.0095999999999998,0.34,0.56,0.79
NC(=O)c1ccccc1,0.64,0.74,0.7855000000000001,0.74,1.29,0.83
O=C(O)c1ccncc1,0.32,0.69,0.7797999999999999,0.69,0.12,0.28
COP(=S)(OC)Oc1ccc(SC)c(C)c1,4.09,4.08,3.6130200000000015,4.68,2.49,3.31
N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1,0.08,4.85,4.175280000000002,4.06,4.28,3.83
O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-],1.62,1.51,-1.0200999999999996,2.22,0.23,1.49
CC(C)OP(=O)(F)OC(C)C,1.17,1.2,2.914000000000001,0.68,1.12,1.35
CS(=O)(=O)OCCCCOS(C)(=O)=O,-0.52,-0.68,-0.2809999999999997,-0.68,-0.5,-0.29
NCCCC(=O)O,-3.17,-3.6,-0.1900999999999997,-3.6,-0.25,-0.62
ClC(Cl)(Cl)Cl,2.83,2.44,2.5529,2.44,2.23,3.58
CN1C(=O)C(C)(C2=CCCCC2)C(=O)N=C1O,1.98,2.02,1.4057,1.01,1.35,2.15
CC[N+](CC)(CC)CC.[Cl-],-3.15,-2.22,-1.1131999999999982,,,
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,3.83,3.73,3.271100000000001,4.39,2.14,2.87
NCC(=O)O,-3.21,-3.41,-0.9703,-3.41,-1.22,-0.98
CC(N)C(=O)O,-2.905,-2.99,-0.5817999999999999,-2.99,-0.7,-0.6
NC(CO)C(=O)O,-3.07,-3.46,-1.6094,-4.46,-1.51,-1.49
CC(=O)OCC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.08,3.71,4.266700000000004,3.26,3.56,3.5
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3,6.42,7.05,5.553220000000004,7.05,5.77,5.64
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,5.07,5.64,4.828600000000004,5.64,3.96,5.09
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,3.44,3.29,3.1732000000000014,3.13,2.19,2.73
c1ccc2cc3c(ccc4ccccc43)cc2c1,5.76,5.52,5.146200000000003,5.52,5.09,4.56
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1.09,0.82,1.3814,0.06,2.12,1.12
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.13,4.47,4.431120000000003,5.43,2.64,3.86
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,1.14,0.92,0.9089999999999998,0.69,1.14,1.02
OCC(O)CO,-1.76,-1.65,-1.6681,-2.25,-1.37,-1.41
NC(CC(=O)O)C(=O)O,-3.89,-4.32,-1.127,-4.32,-1.14,-1.25
NC(=O)CCC(N)C(=O)O,-3.64,-4.49,-1.3361999999999998,-4.49,-1.14,-1.53
NC(CCC(=O)O)C(=O)O,-3.69,-3.83,-0.7369000000000001,-3.83,-0.73,-0.92
NCCCCC(N)C(=O)O,-3.05,-2.99,-0.4726999999999995,-2.99,-0.27,-0.68
NC(CSSCC(N)C(=O)O)C(=O)O,-5.08,-4.34,-0.8083999999999993,-4.34,-1.13,-0.88
NCc1ccc(C(=O)O)cc1,1.03,0.95,0.8435000000000001,0.95,1.2,0.54
C[N+](C)(C)Cc1ccccc1.[Cl-],-2.17,-2.47,-1.1031999999999975,,,
CCCCCCCCCCCCCCCC(=O)O,7.17,6.96,5.552300000000005,6.96,5.21,6.37
CCCCCCCCCCCCCCCCCC(=O)O,8.23,7.94,6.332500000000007,7.94,5.69,7.28
NC(N)=O,-2.11,-1.56,-0.9762000000000002,-1.56,-1.46,-1.04
CC(C)(O)C(Cl)(Cl)Cl,2.03,2.09,2.127500000000001,2.09,1.94,1.82
O=C1CC2OCC=C3CN4CCC56c7ccccc7N1C5C2C3CC46,1.93,1.85,2.0925,2.12,2.64,1.15
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.89,0.72,1.1981,1.74,1.66,1.39
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.47,2.16,1.7695999999999998,3.08,2.2,2.11
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,2.72,3.03,2.2131,3.03,2.52,2.45
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.07,2.0,1.1849999999999998,2.19,1.16,1.91
CCC1(CC)C(=O)NC(=O)NC1=O,0.65,0.6,0.1587999999999999,0.79,0.25,0.74
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.58,1.33,1.7738999999999998,1.23,2.41,2.35
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-3.7,-4.27,-5.395599999999993,-0.36,-3.9,-4.31
CCCC(C)(COC(N)=O)COC(N)=O,0.7,0.98,0.9834000000000004,0.98,1.5,1.27
CC(O)CO,-0.92,-0.78,-0.6405000000000001,-0.78,-0.53,-0.52
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-0.62,-0.68,0.4389999999999997,-3.3,-1.17,-0.45
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,3.67,4.12,3.612600000000002,5.07,4,4.86
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,3.21,2.89,2.1955,2.89,2.38,2.81
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.22,-1.07,-0.5594299999999999,-1.07,0.22,-0.51
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,0.19,0.76,1.4764399999999998,0.76,1.47,1.39
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,6.159999999999999,6.26,5.682800000000001,6.26,5.47,4.79
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.87,3.67,4.723500000000005,3.72,4.05,3.58
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,2.3,2.14,3.795500000000003,3.33,3.23,3.43
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,5.8,6.62,5.763040000000004,6.62,5.55,5.53
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.3,2.78,2.8499000000000025,2.9,2.96,3.07
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.07,0.16,-1.0293,0.76,0.2,-0.1
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.69,2.41,2.5238000000000005,2.41,2.64,2.75
