SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
OCCCCCc1ccncc1,1.85,1.27,1.76
C[Se]c1ccccc1,2.54,2.88,2.44
CCC(=O)OC1(C(C)=O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.28,3.21,3.15
CCC(=O)OC1(C(C)=O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC21C,1.77,3.13,3.11
O=S(=O)(Oc1ccccc1)c1ccccc1,3.29,2.74,2.93
CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,1.99,2.59,1.93
COCC(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,2.17,1.54,2.24
c1ccc(Cn2ccnn2)cc1,1.49,1.58,1.6
NS(=O)(=O)c1ccc(-c2ccccc2)cc1,2.13,2.47,2.18
COC(=O)c1ccccc1C(=O)O,1.71,1.7,1.29
Cc1ccc(O)c(CO)c1,1.14,1.31,1.44
CCC1(CCC(C)C)C(=O)NC(=S)NC1=O,2.57,1.14,2.81
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,2.95,2.82,3.32
CC(C)C(=O)Nc1ccccc1,2.01,2.25,2.08
C=CCc1cccc2c(=O)c(C)c(-c3ccccc3)oc12,5.45,3.5,4.59
OCc1ccoc1,0.45,-0.32,0.33
CC(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1,-0.38,0.59,-0.17
O=c1c2ccccc2nc2n1CCCCC2,2.83,1.92,2.2
N#Cc1c[nH]c(=O)[nH]c1=O,0.46,-1.31,-1.17
CCC(C)N=C=S,2.7,2.54,2.26
CS(=O)(=O)Nc1ccc(S(N)(=O)=O)cc1,-0.43,0.14,0.08
CC(C)COCCO,0.49,0.71,0.7
CCCCCOC(=O)c1cc(=O)[nH]c(=O)[nH]1,2.47,0.41,0.86
CCCCCCOC(=O)C1=C=CC(=O)NC(=O)N1,1.94,0.9,1.61
CC(C)OC(=O)c1cc(=O)[nH]c(=O)[nH]1,1.41,-0.21,-0.2
CC(C)CCOC(=O)c1cc(=O)[nH]c(=O)[nH]1,2.39,0.41,0.65
CCCOC(=O)c1cc(=O)[nH]c(=O)[nH]1,1.49,-0.21,-0.05
NC(=O)Cc1cccs1,0.37,0.37,0.82
COc1ccc(OC(=O)c2ccc(N)cc2O)cc1,3.81,1.89,2.23
CCCCCC(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.09,1.57,1.65
CN(C)CCN1C(=O)c2ccccc2N(C)c2ccccc21,3.79,2.18,2.89
N#Cc1ccc[nH]1,0.43,-0.41,1.09
Nc1nc(N)nc(-c2ccc(Cl)cc2)n1,2.09,2.23,1.78
Nc1nc(N)nc(-c2cccc(Cl)c2)n1,2.09,2.23,1.78
COc1ccc(CCCC(=O)O)cc1,2.86,2.11,2.37
CC(=O)Oc1ccccc1Cl,2.23,2.62,2.26
Cn1cnc([N+](=O)[O-])c1N,-0.49,0.23,-0.27
CCCCCCCC(CCCCC)c1ccccc1,8.36,5.89,7.59
CCCCCCCCC(CCCC)c1ccccc1,8.36,5.89,7.59
CCCCCCCCCC(CCC)c1ccccc1,8.36,5.89,7.59
CCCCCCCCCCC(CC)c1ccccc1,8.36,5.89,7.59
CCCCCCCCCCCC(C)c1ccccc1,8.36,5.89,7.59
CCCCCCCCC(CCCCC)c1ccccc1,8.85,6.12,8.04
CCCCCCCCCC(CCCC)c1ccccc1,8.85,6.12,8.04
CCCCCCCCCCC(CCC)c1ccccc1,8.85,6.12,8.04
CCCCCCCCCCCC(CC)c1ccccc1,8.85,6.12,8.04
CCCCCCCCCCCCC(C)c1ccccc1,8.85,6.12,8.04
CCCCCCCC(CCC)c1ccccc1,7.38,5.42,6.67
CCCCCCCCC(CC)c1ccccc1,7.38,5.42,6.67
CCCCCCCCCC(C)c1ccccc1,7.38,5.42,6.67
CCCCCC(CCCC)c1ccccc1,6.89,5.18,6.22
CCCCCCC(CCC)c1ccccc1,6.89,5.18,6.22
CCCCCCCCC(C)c1ccccc1,6.89,5.18,6.22
CCCCCC(CCCCC)c1ccccc1,7.38,5.42,6.67
CCCCCCC(CCCC)c1ccccc1,7.38,5.42,6.67
NC(=S)c1ncccn1,-0.38,-0.66,0.05
O=C(Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O)c1ccccc1,-1.03,0.24,-0.49
Nc1nc(N)c2ncn(C3CC(O)C(CO)O3)c2n1,-2.33,-0.57,-1.48
O=C(Nc1ncnc2c1ncn2C1CC(O)C(CO)O1)c1ccccc1,0.51,0.97,0.28
O=[N+]([O-])c1cnc(-c2ccc(F)cc2)n1CCO,1.41,1.69,1.53
CCCCN(CC)N=O,1.33,1.35,1.77
NC(=O)c1ccc[nH]1,-0.38,-0.57,0.22
Cc1c([N+](=O)[O-])cc(C(N)=O)cc1[N+](=O)[O-],0.92,1.48,1.11
CN(C(N)=O)c1ccccc1,1.25,1.6,0.95
O=c1cc[nH]cn1,-1.02,-0.44,-0.69
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(O)CC65O)C4)OC3C)OC2C)CC(O)C1O,-0.86,0.96,1.81
NS(=O)(=O)Cc1ccccc1,0.63,0.92,0.67
COC1C(OC(C)=O)CC(=O)OC(C)CC2OC2C=CC(=O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,0.14,-0.1,2.08
CCCCCOC(=O)c1cc(O)c(O)c(O)c1,2.35,1.6,2.67
Nc1nc2ccccc2o1,0.8,1.18,1.15
Nc1ncco1,-0.37,-0.53,-0.48
,-,-,-
Brc1cncnc1,0.83,0.86,0.8
Brc1ncccn1,0.83,0.45,1.02
CNc1ccccn1,0.43,0.64,1.07
CC(C)COC(=O)c1cc(=O)[nH]c(=O)[nH]1,1.9,0.11,0.27
CCc1cc(C(=O)NN)ccn1,-0.91,0.4,0.14
COc1ccc(C(=O)CCCC(=O)O)cc1,1.99,1.5,1.83
CC(C)(C)NCCO,0.22,0.71,0.18
CCCCCCCC(CC)c1ccccc1,6.89,5.18,6.22
NC(=S)c1cccnc1,0.49,0.14,0.58
[O-][n+]1ccc(NO)c2ccccc21,1.78,1.62,2.87
[O-][n+]1ccc(Cl)c2ccccc21,3.38,2.75,4.25
O=C(Nc1ccccc1)c1cc(Cl)ccc1O,3.94,3.08,3.01
CN(C)CCC(c1ccccc1)c1ccccc1,4.36,4.14,3.96
CCCCc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,4.28,2.87,2.81
C=C(C)C(=O)OC(C)C,2.18,1.62,1.89
CSc1nc(N=[N+]=[N-])nc(NC(C)C)n1,2.1,1.45,1.45
O=C(CN1CCCCC1)Nc1ccccc1,2.07,1.86,2.09
CC1(O)CC23CC(O)C4(O)C(CC(O)C4(C)C)C(C)(O)C2CCC1C3O,-0.35,0.97,-0.73
O=C(O)c1cccc(Cl)n1,1.33,0.74,1.59
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,-5,1.59,1.25
CC1(C)SC2C(NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2C1C(=O)O,-0.16,1.29,0.89
CC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,3.69,2.94,3.65
Clc1ccccc1NC1=NCCN1,2.18,2.1,1.69
CCc1cccc(CC)c1NC1=NCCN1,3.61,2.68,2.91
OCC1OC(Oc2ccc(Cl)cc2)C(O)C(O)C1O,0.15,-0.14,0.32
CC1(C)SC2C(NC(=O)C(O)c3ccccc3)C(=O)N2C1C(=O)O,0.07,1.06,0.77
CC(N)Cc1ccc2c(c1)OCO2,1.82,1.23,1.4
CCC1(CC)OC(=O)c2ccccc21,3.63,2.96,3.07
Clc1cncc(Cl)n1,1.23,0.5,1.28
COc1cncc(OC)n1,1.01,-0.33,0.57
c1ccc2nc(N3CCNCC3)ccc2c1,1.69,1.51,2.14
CC(C)(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.24,1.81,1.91
OCc1cccc2ccccc12,2.25,2.66,2.13
c1ccc(Oc2ccccn2)cc1,2.86,2.25,2.78
CCOC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1NCc1ccco1,2.05,1.36,2.35
Cc1ccc(NC2=NCCN2)c(C)c1,2.63,2.12,2
O=P([O-])(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,3.69,4.3,3.7
O=C(OC1C2C=CC1C=C2)c1ccccc1,3.9,3.2,2.47
CCOP(=O)(OCC)Oc1ccc(SC)c(C)c1,3.24,3.48,3.1
CC(C)Oc1ccccc1O,2.5,1.9,2.27
CCOP(=S)(OCC)Oc1cc(Cl)c(Br)cc1Cl,6.75,4.01,5.05
O=C(O)CCC1=NS(=O)(=O)c2ccccc2N1,-0.45,0.56,0.22
Cc1cc([N+](=O)[O-])c2ccccc2[n+]1[O-],3.1,2.34,3.62
O=C1CCC2CCCCC2C1,2.49,2.36,2.22
O=C(Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1)c1ccccc1,1.07,0.54,0.02
COc1cccc([N+](=O)[O-])c1C,2.44,1.94,2.19
CCCCCCN1CCCC1=O,2.35,1.88,2.08
CN(C)C(=O)Nc1cccc(O)c1,0.55,1.38,0.88
Cc1cc(C(=O)O)no1,0.97,-0.16,0.43
Cc1cccc(C)c1N=C1NCCN1,1.69,2.12,2
O=c1[nH]c(=O)n(Cc2ccccc2)cc1F,1.11,1.43,0.69
COC(=O)CSc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1.72,2.2,2.08
O=C1CC(c2ccccc2)c2ccccc2N1,3.17,3.1,2.56
CCCOc1cc(Br)c(Cc2cnc(N)nc2N)cc1OC,3.25,2.24,3.18
O=C1CCC(c2ccccc2)CC1,2.76,2.64,2.46
Cn1cnc([N+](=O)[O-])c1Cl,1.07,1.01,0.82
Cn1cnc(Cl)c1[N+](=O)[O-],1.07,1.01,0.82
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,4.09,3.62,4.22
C1=CCCC=CCCC=CCC1,5.48,3.74,4.14
CCC(C)c1ccc(OCC(=O)O)cc1,3.28,2.39,3.13
CCOc1ccc(CC(=O)O)cc1,2,1.82,1.8
Cc1cccc(O)c1[N+](=O)[O-],1.88,1.61,1.94
CCN(CC)CCNC(=O)c1cc(F)cc(Cl)c1OC,2.81,2.9,2.73
Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,1.71,1.64,1.86
O=C(Nc1ccccc1)Oc1ccccc1,2.97,3.49,3.17
CCCNC(=O)NS(=O)(=O)c1ccccc1,1.37,1.68,1.39
CCc1occc(=O)c1O,0.01,-0.52,-0.05
O=C(O)c1cc(=O)c2ccccc2o1,2.08,0.57,1.22
Cc1cc([N+](=O)[O-])cc2c1NC(=O)CN=C2c1ccccc1,2.99,2.35,2.99
Fc1cnccn1,0.14,-0.34,0.12
CN1C(=O)CN=C(c2ccccc2)c2cc(N)ccc21,2.26,1.89,2.06
COc1ccc2cccnc2c1,2.06,1.76,2
O=[N+]([O-])c1ccc2sccc2c1,2.81,2.32,2.59
O=C1C=CC(=NO)c2ccccc21,2.09,1.38,1.32
Brc1ccc2cccnc2c1,2.87,2.78,2.76
Cc1nonc1C,2.42,0.06,0.17
c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,5.95,3.69,6.82
O=C1CN=C(c2ccccc2[N+](=O)[O-])c2cc([N+](=O)[O-])ccc2N1,2.26,2.15,2.39
C=CC(=O)OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,2.27,1.64,2.14
OCC1OC(n2cnc3c(S)ncnc32)C(O)C1O,-2.2,-0.91,-0.91
Cn1c([N+](=O)[O-])cnc1C=NNC(N)=S,-1.2,-0.53,0.09
CNCC(O)c1ccc(O)c(OC)c1,-0.13,0.56,0.57
CC(=O)Nc1ccc(OC(=O)c2ccccc2OC(C)=O)cc1,1.75,2.93,2.15
O=c1[nH]nc(-c2ccccc2)c2ccccc12,1.84,2.74,2.45
O=[N+]([O-])c1nccn1CCO,-0.55,-0.03,-0.18
CC(C)CNC(=O)Nc1ccc(Cl)c(Cl)c1,3.86,3.6,3.47
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC(C)C,2.04,1.17,2.08
CCOc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,1.63,0.9,1.7
c1ccc(-c2cnc3ccccc3n2)cc1,2.88,2.36,3.24
CN1CC=C(c2ccc(Cl)cc2)CC1,3.59,3.18,3.07
Nc1cnccn1,-0.12,-0.98,-0.68
Cc1ncccn1,0.49,-0.01,0.05
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,0.99,1.8,1.48
CC1CCC(=O)N1C,0.31,0.58,0.21
NN=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1,3.38,3.33,3.51
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)C(Cl)C3C1(Cl)C2(Cl)Cl,6.44,5.7,5.03
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,3.81,3.9,3.66
CC1=Nc2c(Br)cc(Cl)cc2S(=O)(=O)N1,2.43,2.07,1.95
CCN(CC)c1cccc(S(=O)(=O)[O-])c1.[Na+],-,-,-
O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1,3.75,3.47,4.27
CCOP(=S)(OCC)N1C(=O)c2ccccc2C1=O,3.92,1.58,2.06
Nc1ccc(Cl)c(N)c1,0.8,1.51,1
Nc1cnnc2ccccc12,0.2,1.11,0.8
C=CCCBr,2.51,2.27,1.93
NC(=O)c1cnc2ccccc2n1,-0.14,0.13,0.72
CNS(=O)(=O)c1ccccc1,0.84,1.18,1.25
Nc1ccc2[nH]ccc2c1,1.14,1.14,1.38
CC=CC=CC,2.86,2.35,2.22
COC(=O)c1cc(Cl)ccc1N,1.56,2.05,1.6
O=[N+]([O-])c1cnc([N+](=O)[O-])[nH]1,-0.31,0.28,0.17
Cn1cc([N+](=O)[O-])nc1[N+](=O)[O-],0.24,0.73,0.79
CN(C)c1cnccn1,0.97,-0.2,0.23
O=C(Cc1ccccc1)Nc1ccccc1F,2.79,3.5,2.85
O=C(Cc1ccccc1)Nc1cccc(F)c1,2.79,3.5,2.85
O=C(Cc1ccccc1)Nc1ccc(F)cc1,2.79,3.5,2.85
CC(=O)Nc1ccncc1,-0.09,0.07,-0.2
CC(=O)Nc1ccccn1,-0.09,0.47,0.34
CC(=O)Nc1ccccc1C(C)=O,0.78,1.33,0.69
CC1=C(C(=O)Nc2ccccc2)SCCO1,1.09,1.51,1.41
OCC1CC2CCC1C2,2.36,1.88,1.51
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,3.73,2.82,2.66
O=C(O)CONC(=O)c1ccccc1,0.69,1.05,0.55
COC(=O)CNC(=O)c1ccc(N)cc1,-0.17,0.81,0.21
CC1=C(C(=O)Nc2ccccc2)S(=O)(=O)CCO1,-0.94,0.16,0.4
COc1ccc2ncccc2c1,2.06,1.76,2
OCCCCc1ccncc1,1.36,0.97,1.31
COc1cc(OC)ncn1,1.01,0.48,1.1
OCC1OC(OC2CCCCC2)C(O)C(O)C1O,0.72,-0.6,-0.25
N#CSc1ccccc1,2.35,2.56,2.4
O=C1CCCN1Cc1ccccc1,1.6,1.88,1.42
CCOC(=O)C(=Cc1ccccc1)C(=O)OCC,2.94,2.49,2.67
C=CCSc1ccccc1,3.39,3.44,2.99
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7COC(=O)C7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,-0.77,1.06,1.76
O=C1CC(=O)N(c2ccccc2)O1,1.82,1.18,0.99
Nc1ccc(N)c([N+](=O)[O-])c1,-0.02,0.74,0.23
O=c1c2ccccc2ncn1O,-0.64,1.25,0.53
Nc1ccc(I)cc1C(=O)O,2.12,2.05,1.27
CCNC(=O)CBr,0.14,0.78,0.61
OCc1cc(Cl)ccc1O,1.24,1.58,1.62
Brc1cnc2ccccc2c1,2.87,2.78,2.76
Brc1ccc2ncccc2c1,2.87,2.78,2.76
Cc1[nH]ncc1[N+](=O)[O-],0.42,-0.08,0.31
CCCCc1ccncc1,2.83,1.85,2.53
O=[N+]([O-])c1ccc(CCBr)cc1,3.19,2.95,2.79
OCCc1ccncc1,0.38,0.32,0.4
O=C(O)c1c(Cl)cccc1[N+](=O)[O-],2.34,2.15,1.99
COc1ccc(N)cc1Cl,1.8,1.85,1.73
NC(=S)c1ccccn1,0.49,0.14,1.01
Nc1cc(Cl)c(Cl)cc1N,1.45,2.12,1.67
O=C(O)COc1ccccc1-c1ccccc1,3.09,2.68,3
NN=C(c1ccccc1)c1ccccc1,3.31,2.98,2.75
NNC(=O)c1ccc(N)cc1,-1.68,0.73,-0.41
NNC(=O)c1ccc(O)cc1,-1.24,0.73,0.07
CC1OC(OC2CCC3(C)C(CCC4C3CC(O)C3(C)C(C5=CC(=O)OC5)CCC43O)C2)CC(O)C1O,1.01,2.31,2.18
COc1ccc(Cc2cnc(N)nc2N)cc1OC,1.38,1.35,1.56
CC(=O)OC1C(O)CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC1C,0.15,1.31,2.38
Cc1ccccc1C1=NCC(=O)N(C)c2ccc(Cl)cc21,4.37,3.18,3.96
Cc1ccccc1C1=NCC(=O)Nc2ccc(Cl)cc21,3.82,2.94,3.76
COc1cccc(C2=NCC(=O)Nc3ccc(Cl)cc32)c1,3.35,2.4,3.25
COc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,2.71,1.89,2.59
CC(C)Nc1ccccc1C(N)=O,1.28,1.68,1.41
CCCCNc1ccccc1C(N)=O,1.84,1.97,2.01
c1ccc(-n2cnnn2)cc1,0.18,1.75,1.07
COC(=O)c1cccs1,1.65,1.05,1.64
NNC(=O)c1ccc2ncccc2c1,-0.77,1.25,0.53
O=C1OC(c2ccccc2)c2ccccc21,3.41,3.25,3.05
O=[N+]([O-])c1ccc2[nH]ncc2c1,1.05,1.2,1.37
O=[N+]([O-])c1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2,3.88,3.62,3.28
CC(=O)OCc1ccc(Cl)cc1,2.73,2.65,2.27
OC(CN1CCCC1)c1ccccc1,1.35,1.84,1.85
Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O,-0.58,-0.15,-1.15
CC(=O)Nc1cc(F)cc(C(F)(F)F)c1Cl,2.91,3.62,2.76
COC1=C(C)C(=O)c2ccccc2C1=O,1.5,1.14,1.71
CC(=O)Nc1cnc2ccccc2c1,1.09,1.54,1.14
Nc1nc2cc(Cl)ccc2[nH]1,0.96,1.79,1.8
NC(=S)NN=Cc1ccco1,-0.26,-0.55,0.97
Nc1cnc2ccccc2n1,1.06,0.71,1.09
O=C(c1ccccc1)c1cccnc1,2.36,1.51,2.17
Cc1ccc([N+](=O)[O-])cc1O,1.88,1.61,1.94
Cc1ccc(NC(=O)CN2CCCCC2)cc1,2.61,2.13,2.57
CN(N=O)C1CCCCC1,1.63,1.31,1.95
CC(=O)C=Cc1ccc(N(C)C)cc1,1.93,2.33,2.05
CCOC(=O)c1cnc2cc(C)ccn2c1=O,1.78,0.78,0.37
CCCOc1ccc(C(=O)O)cc1,2.94,2.09,2.29
CCOC(=O)c1ccc(S(N)(=O)=O)cc1,0.7,1.24,0.86
COc1ccc([N+](=O)[O-])cn1,1.16,0.48,1.1
CC(=C(C#N)C#N)c1ccccc1,1.46,1.7,2.46
Cc1cccc(C(=O)N(C(C)C)C(C)C)c1,3.78,3.36,3.18
Clc1ccc2nccnc2c1,1.76,1.45,1.96
NC(=O)c1cccnn1,-1.31,-0.66,-0.36
NC(=O)Cc1ccccn1,-0.64,-0.2,0.14
COc1cccc(OC(C)=O)c1,1.67,1.78,1.58
NS(=O)(=O)c1ccccc1[N+](=O)[O-],0.19,0.75,0.55
N#Cc1c[nH]c2ccccc12,1.6,1.1,2
CCCNC(=O)c1ccc(S(N)(=O)=O)cc1,0.56,1.13,0.74
CCNC(=O)Cc1ccccc1,1.28,1.98,1.42
Nc1nnnn1-c1ccccc1,-0.73,1.63,0.86
Nc1ccc(Cl)nn1,-0.33,0.51,0.88
Nc1ncccn1,-0.98,-0.17,-0.17
COc1ccc(NC=O)cc1,2.13,1.47,0.99
CS(=O)(=O)c1ccc(N)cc1,-0.35,0.64,0.61
O=Cc1ccc2ccccc2n1,1.7,1.41,2.2
Cc1ccccc1C(O)c1ccccc1,3.26,3.39,3.32
CC(=O)OCN1C(=O)c2ccccc2C1=O,1.67,1.3,0.68
N#CC1CC1,-0.38,0.26,0.8
CCC(C)c1cccc(C(C)CC)c1O,5.41,3.92,4.86
CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,0.15,1.31,2.38
CCCCCCCCCCOc1ccc(C(=O)O)cc1,6.38,4.85,5.48
Cc1cncc(N)n1,0.43,-0.57,-0.4
Cc1cnc(C(N)=O)cn1,-0.77,-1.09,-0.76
Cc1cncc(C(N)=O)n1,-0.77,-1.09,-0.76
O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,4.75,4.24,3.84
O=C(O)c1cc(=O)c2cc3c(cc2o1)CCCC3,4.04,1.68,2.74
CCOc1c(NS(=O)(=O)c2ccc(N)cc2)ncnc1OC,1.63,0.9,1.7
CCCOC(=O)Nc1ccccc1,2.73,2.63,2.47
Cc1ccc(O)c2ncccc12,2.05,1.76,2.24
CC(C(=O)O)(c1ccccc1)c1ccccc1,3.15,3.5,3.38
CS(=O)c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,1.07,1.82,2.04
Cc1cc(C)c2c(c1)C(c1ccccc1)=NCC(=O)N2,3.72,2.68,3.58
Cc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,3.18,2.43,3.09
CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,4.31,3.18,3.82
O=C(O)CCCCCc1ccccc1,3.76,2.96,3.29
[O-][n+]1onc(-c2ccccc2)c1-c1ccccc1,2.9,3.02,2.7
C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1,0.23,1.24,1.84
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,2.31,3.01,3.73
CC(=O)Nc1cncc(C)n1,0.45,-0.34,-0.53
COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,4.33,2.23,3.87
COC(=O)Nc1ccc(C)cc1,2.3,2.33,2.08
CN(C)c1ncccn1,0.12,0.62,0.73
O=NN1CCNCC1,-1.26,-0.64,-0.49
CNCCc1ccccn1,0.84,0.65,0.68
O=C(Nc1ccccc1)N(c1ccccc1)c1ccccc1,5.65,4.61,4.31
O=C(NC(=O)c1ccccc1O)c1ccccc1,2.88,2.33,2.22
C=CCNCCC,1.66,1.44,1.27
COc1cccc(OC)c1C,2.7,1.9,2.28
CCCCNC(=O)NO,0.26,0.57,0.14
CN(C)c1ccccn1,0.98,0.99,1.38
NCCCCNC(=O)c1ccccc1,1.21,1.7,0.85
CCNC(=O)NO,-0.72,-0.29,-0.84
CCCNC(=O)NO,-0.23,0.16,-0.32
CC(=O)Oc1ccccc1C#N,1.14,1.43,1.48
CC(C)(C)c1cc(O)ccc1[N+](=O)[O-],3.24,2.56,2.86
CN(C)O,-0.55,-0.24,-0.26
Cc1nsnc1C,1.27,0.09,0.76
On1nc2ccccc2n1,-0.07,1.24,1.03
COC(=O)C=COc1ccccc1,1.89,1.73,1.67
COc1ccccc1OCC(O)CNC(C)C,1.5,1.4,1.62
CCOC(=O)c1ccsc1,2.14,1.4,1.7
Cc1ccno1,1.09,0.09,0.4
COc1cccc(C(=O)NN)c1,-0.68,1.06,0.32
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,1.29,2.29,3.42
C=C1C2CCC(C2)C1(C)C,4.69,3.37,2.93
COc1cccc(C(N)=O)c1,0.82,1.06,0.82
NC(=O)c1cccs1,0.56,0.26,0.79
NC(=O)C=Cc1ccc2c(c1)OCO2,0.88,0.66,1.07
NNC(=O)c1ccccc1Cl,-0.11,1.87,1
NNC(=O)c1cccc(O)c1,-1.24,0.73,0.07
CNC(=O)Oc1ccc([N+](=O)[O-])cc1,0.99,1.92,1.49
CN(C)C(=O)CC1CCCCC1,2.28,1.88,1.95
O=C1NC(=O)C(Cc2ccccc2)O1,2.67,1.48,1.63
O=C1NC(=O)C(c2ccccc2)O1,1.95,1.18,1.31
CN1C(=O)OC(c2ccccc2)C1=O,2.36,1.48,1.52
CC(=O)Nc1cccnc1,-0.09,0.07,-0.2
O=C(O)Cc1ccc(OCc2ccccc2)c(Br)c1,4.11,3.57,3.78
OC1CC2CCC1C2O,0.74,0.67,0.08
CC(=O)Nc1cc(Cl)ccc1C,2.29,2.52,2.1
Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl,1.75,1.25,1.01
Cc1nccnc1C,1.03,-0.03,0.09
CCNc1nc(Cl)nc(NC(C)(C)C)n1,3.27,2.49,2.82
NNC(=O)c1ccc(Br)cc1,0.13,2.03,1.09
CC(C)(C)c1ccccn1,2.71,1.85,2.51
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,1.3,1.71,1.3
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)CC12,2.84,2.52,2.4
CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CC=C(C)CC21,7.94,4.23,6.08
O=c1ccn(C2C=CC(CO)O2)c(=O)[nH]1,-1.89,-0.29,-0.96
O=C1CCC(c2cccnc2)N1,0.29,0.45,0.09
Cc1cn(C2C=CC(CO)O2)c(=O)[nH]c1=S,-1.61,0.37,0.38
O=c1ccn(C2CCC(CO)O2)c(=O)[nH]1,-1.67,-0.2,-1.05
NCCCCc1cccnc1,1.35,0.97,1.02
CCCC(C)O,1.26,1.21,1.35
COc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1,-0.42,-0.9,-0.36
OCC1OC(Oc2ccc3ccccc3c2)C(O)C(O)C1O,0.68,0.18,0.57
CC(=O)C=Cc1ccccc1O,1.27,1.76,1.62
COc1ccc(Nc2ccnc3cc(Cl)ccc23)cc1,4,3.34,4.21
CCCCC(O)C(=O)O,0.82,0.54,1.13
CCCCC1OC(=O)c2ccccc21,3.66,2.96,3.25
CN(C)c1ccc(C(N)=O)cc1,0.92,1.38,0.99
c1ccc(Cn2cncn2)cc1,1.49,2.39,1.38
Cn1ncc2ccccc2c1=O,0.87,1.57,0.92
COc1ccccc1OC1OC(CO)C(O)C(O)C1O,-0.42,-0.9,-0.36
Cc1cccc(OC2OC(CO)C(O)C(O)C2O)c1,0.05,-0.41,0.14
COc1ccncn1,0.48,0.24,0.57
NCCCNC(=O)c1ccccc1,0.72,1.41,0.27
O=[N+]([O-])CCc1ccccc1,1.94,2.22,2.2
S=c1ssc2c1CCCCC2,4.77,2.65,3.93
CCc1ssc(=S)c1C,3.9,1.96,3.39
O=C1NC(=O)C2(CCC2)C(=O)N1,0.19,-0.08,-0.08
