Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
28,Molecule 28,c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C,5.19 (MODERATE reliability),5.19,3.77 (LOW reliability),3.77,4.74 (LOW reliability),4.74
29,Molecule 29,O=C([O-])C4=C(C[n+]1ccccc1)CSC3N4(C(=O)C3(NC(=O)Cc2cccs2)),-5 (LOW reliability),-5,1.54 (MODERATE reliability),1.54,0.57 (MODERATE reliability),0.57
30,Molecule 30,Oc1ccc2[nH]cc(c2(c1))CCN,0.21 (EXPERIMENTAL value),1.14,0.21 (EXPERIMENTAL value),0.92,0.21 (EXPERIMENTAL value),1.28
31,Molecule 31,OCC(O)C(O)C(O)C(O)CO,-2.72 (EXPERIMENTAL value),-4.2,-2.72 (EXPERIMENTAL value),-2.5,-2.72 (EXPERIMENTAL value),-2.94
32,Molecule 32,O=C1NC(=O)C(=O)C(=O)N1,-1.84 (EXPERIMENTAL value),1.4,-1.84 (EXPERIMENTAL value),-2.09,-1.84 (EXPERIMENTAL value),-1.35
33,Molecule 33,O=C(O)c1ccccc1(OC(=O)C),1.19 (EXPERIMENTAL value),1.47,1.19 (EXPERIMENTAL value),1.7,1.19 (EXPERIMENTAL value),1.2
34,Molecule 34,O=C(O)c1cc(ccc1Cl)Cl,2.82 (EXPERIMENTAL value),3.16,2.82 (EXPERIMENTAL value),2.89,2.82 (EXPERIMENTAL value),2.76
35,Molecule 35,O=C1OC(C(O)=C1(O))C(O)CO,-2.68 (LOW reliability),-2.68,-2.33 (LOW reliability),-2.33,-1.76 (LOW reliability),-1.76
36,Molecule 36,O=C(O)c1ccc(cc1(O))C,2.99 (EXPERIMENTAL value),3.91,2.99 (EXPERIMENTAL value),1.47,2.99 (EXPERIMENTAL value),1.65
37,Molecule 37,O=C(O)c1ccc(cc1(O))NC(=O)C,1.62 (EXPERIMENTAL value),2.12,1.62 (EXPERIMENTAL value),0.78,1.62 (EXPERIMENTAL value),0.29
38,Molecule 38,O=C1NC(=O)N(C=C1C)C2OC(CO)C(O)C2,-0.93 (EXPERIMENTAL value),-1.19,-0.93 (EXPERIMENTAL value),-0.66,-0.93 (EXPERIMENTAL value),-1.24
39,Molecule 39,O=C1NC(=O)N(C=C1(F))C2OC(CO)C(O)C2,-1.16 (EXPERIMENTAL value),-1.68,-1.16 (EXPERIMENTAL value),-0.81,-1.16 (EXPERIMENTAL value),-1.77
40,Molecule 40,Cl.C[C@H](NC)[C@H](O)c1ccccc1,[Error],-,[Error],-,[Error],-
41,Molecule 41,OCC1OC(O)C(O)C(O)C1(O),-3.11 (LOW reliability),-3.11,-2.48 (MODERATE reliability),-2.48,-2.51 (MODERATE reliability),-2.51
