Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
486,Molecule 486,N=C(N(C)C)N(C)C,0.41 (EXPERIMENTAL value),-0.27,0.41 (EXPERIMENTAL value),0.57,0.41 (EXPERIMENTAL value),-0.3
487,Molecule 487,O=S(=O)(O)c2ccc1ccccc1c2(N),-0.97 (EXPERIMENTAL value),-0.91,-0.97 (EXPERIMENTAL value),1.44,-0.97 (EXPERIMENTAL value),0.96
488,Molecule 488,O=C1NS(=O)(=O)c2ccccc12,0.91 (EXPERIMENTAL value),0.45,0.91 (EXPERIMENTAL value),0.43,0.91 (EXPERIMENTAL value),0.36
489,Molecule 489,O=S(=O)(O)c2cc(N)ccc2(C=Cc1ccc(N)cc1S(=O)(=O)O),-3.63 (LOW reliability),-3.63,0.93 (LOW reliability),0.93,0.25 (MODERATE reliability),0.25
490,Molecule 490,O=C(c1c(c(c(c(c1C)[N+](=O)[O-])C(C)(C)C)[N+](=O)[O-])C)C,4.31 (MODERATE reliability),4.31,3.28 (LOW reliability),3.28,3.73 (LOW reliability),3.73
491,Molecule 491,O=S(=O)(O)c2c(N)ccc1ccccc12,-1.16 (EXPERIMENTAL value),-0.91,-1.16 (EXPERIMENTAL value),1.44,-1.16 (EXPERIMENTAL value),0.96
492,Molecule 492,O=[N+]([O-])c1c(cccc1C)C,2.95 (EXPERIMENTAL value),2.91,2.95 (EXPERIMENTAL value),2.48,2.95 (EXPERIMENTAL value),2.7
493,Molecule 493,O=C(O)CCC(C)C2CCC3C4C(O)CC1CC(O)CCC1(C)C4(CC(O)C23(C)),2.02 (EXPERIMENTAL value),3.86,2.02 (EXPERIMENTAL value),3.28,2.02 (EXPERIMENTAL value),2.89
494,Molecule 494,O=C1Oc3ccccc3(C(O)=C1C(c2ccccc2)CC(=O)C),2.53 (MODERATE reliability),2.53,2.67 (LOW reliability),2.67,2.66 (MODERATE reliability),2.66
495,Molecule 495,[Cl-].CCN(CC)c1cc2[o+]c3cc(ccc3c(-c3ccccc3C(O)=O)c2cc1)N(CC)CC,[Error],-,[Error],-,[Error],-
496,Molecule 496,Oc1ccc(cc1)C(c2ccc(O)cc2)c3ccccc3CO,3.27 (EXPERIMENTAL value),4,3.27 (EXPERIMENTAL value),3.43,3.27 (EXPERIMENTAL value),3.95
497,Molecule 497,O=C2c1ccccc1c4cccc3cccc2c34,4.81 (EXPERIMENTAL value),4.73,4.81 (EXPERIMENTAL value),3.91,4.81 (EXPERIMENTAL value),3.92
498,Molecule 498,O=C(O)C2c3ccccc3(Oc1ccccc12),2.23 (EXPERIMENTAL value),2.99,2.23 (EXPERIMENTAL value),2.41,2.23 (EXPERIMENTAL value),2.69
499,Molecule 499,O=C1c3ccccc3(C(=O)c2c(cccc12)NC),4.1 (EXPERIMENTAL value),2.97,4.1 (EXPERIMENTAL value),2.04,4.1 (EXPERIMENTAL value),2.84
500,Molecule 500,O=C1c3ccccc3(C(=O)c2c(N)cccc12),3.74 (EXPERIMENTAL value),2.43,3.74 (EXPERIMENTAL value),1.79,3.74 (EXPERIMENTAL value),2.24
501,Molecule 501,O=C1c4ccccc4(C(=O)C1C(=O)C(c2ccccc2)c3ccccc3),2.95 (LOW reliability),2.95,3.33 (MODERATE reliability),3.33,4.09 (MODERATE reliability),4.09
502,Molecule 502,O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,4.64 (EXPERIMENTAL value),5.03,4.64 (EXPERIMENTAL value),4.2,4.64 (EXPERIMENTAL value),5.05
503,Molecule 503,O=C1C(=O)c3cccc2cccc1c23,1.95 (EXPERIMENTAL value),1.24,1.95 (EXPERIMENTAL value),1.9,1.95 (EXPERIMENTAL value),2.2
504,Molecule 504,O=C(O)C(c1ccc(cc1)Cl)c2ccc(cc2)Cl,3.99 (MODERATE reliability),3.99,4.29 (MODERATE reliability),4.29,4.29 (MODERATE reliability),4.29
505,Molecule 505,O=C2c3ccccc3(C(=O)C2(c1ccccc1)),2.9 (EXPERIMENTAL value),2.38,2.9 (EXPERIMENTAL value),2.61,2.9 (EXPERIMENTAL value),2.82
506,Molecule 506,O=C2N(c1ccccc1)C(=O)CC2,0.06 (EXPERIMENTAL value),0.64,0.06 (EXPERIMENTAL value),1.07,0.06 (EXPERIMENTAL value),0.99
507,Molecule 507,c2cc1cccc3c1c(c2)CC3,3.92 (EXPERIMENTAL value),4.15,3.92 (EXPERIMENTAL value),3.96,3.92 (EXPERIMENTAL value),3.34
508,Molecule 508,c1ccc2c(c1)[nH]cc2C,2.6 (EXPERIMENTAL value),2.6,2.6 (EXPERIMENTAL value),2.07,2.6 (EXPERIMENTAL value),2.61
509,Molecule 509,O=C(O)c1cccc(c1(O))C,2.86 (EXPERIMENTAL value),3.91,2.86 (EXPERIMENTAL value),1.47,2.86 (EXPERIMENTAL value),1.65
510,Molecule 510,O=[N+]([O-])c1cccc(c1C)C,2.83 (EXPERIMENTAL value),2.91,2.83 (EXPERIMENTAL value),2.48,2.83 (EXPERIMENTAL value),2.7
511,Molecule 511,O=[N+]([O-])c1cccc(c1C)Cl,3.09 (EXPERIMENTAL value),3,3.09 (EXPERIMENTAL value),2.75,3.09 (EXPERIMENTAL value),2.88
512,Molecule 512,O=C(O)CCC(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CC(O)C23(C)),3.5 (EXPERIMENTAL value),5.4,3.5 (EXPERIMENTAL value),4.07,3.5 (EXPERIMENTAL value),4.06
513,Molecule 513,O=C1C=CN(c2ccccc12)C,0.44 (EXPERIMENTAL value),1.84,0.44 (EXPERIMENTAL value),1.49,0.44 (EXPERIMENTAL value),1.57
514,Molecule 514,Oc1cccc2c(O)cccc12,1.94 (EXPERIMENTAL value),2.21,1.94 (EXPERIMENTAL value),2.02,1.94 (EXPERIMENTAL value),2.2
515,Molecule 515,O=C1NC(=O)N(c2ncn(c12)C)C,0.55 (LOW reliability),0.55,-0.13 (GOOD reliability),-0.13,-0.31 (GOOD reliability),-0.31
516,Molecule 516,O=C1C=C(O)C(=O)c2ccccc12,0.78 (MODERATE reliability),0.78,0.57 (LOW reliability),0.57,1.19 (GOOD reliability),1.19
517,Molecule 517,O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34),4.1 (EXPERIMENTAL value),5.17,4.1 (EXPERIMENTAL value),1.79,4.1 (EXPERIMENTAL value),3.93
518,Molecule 518,O=C3N=C2C(=Nc1cc(c(cc1N2CC(O)C(O)C(O)CO)C)C)C(=O)N3,-1.46 (EXPERIMENTAL value),-0.34,-1.46 (EXPERIMENTAL value),-1.36,-1.46 (EXPERIMENTAL value),-0.39
519,Molecule 519,O(CCN(C)C)C(c1ccccc1)c2ccccc2C,3.77 (EXPERIMENTAL value),3.65,3.77 (EXPERIMENTAL value),3.5,3.77 (EXPERIMENTAL value),3.87
520,Molecule 520,c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(CC)CC,6.46 (EXPERIMENTAL value),6.17,6.46 (EXPERIMENTAL value),4.23,6.46 (EXPERIMENTAL value),5.44
521,Molecule 521,O=C(N)C4CCN(CCCN3c1ccccc1Sc2ccc(cc23)Cl)CC4,4.44 (EXPERIMENTAL value),4.48,4.44 (EXPERIMENTAL value),2.96,4.44 (EXPERIMENTAL value),4.21
522,Molecule 522,O=C2C(=O)c1ccccc1c3ccccc23,2.52 (EXPERIMENTAL value),1.82,2.52 (EXPERIMENTAL value),2.36,2.52 (EXPERIMENTAL value),2.81
523,Molecule 523,O=C1c3ccccc3(C(=O)c2cc(ccc12)CC),4.37 (EXPERIMENTAL value),4.38,4.37 (EXPERIMENTAL value),2.86,4.37 (EXPERIMENTAL value),3.93
524,Molecule 524,O=C1c3ccccc3(C(=O)c2ccccc12),3.39 (EXPERIMENTAL value),3.34,3.39 (EXPERIMENTAL value),2.36,3.39 (EXPERIMENTAL value),2.99
525,Molecule 525,O=C(OCC)c1ccccc1(C(=O)OCC),2.65 (MODERATE reliability),2.65,2.58 (GOOD reliability),2.58,2.24 (MODERATE reliability),2.24
526,Molecule 526,O=C(OCC(C)C)c1ccccc1(C(=O)OCC(C)C),4.11 (EXPERIMENTAL value),4.46,4.11 (EXPERIMENTAL value),3.62,4.11 (EXPERIMENTAL value),3.92
527,Molecule 527,O=C(OCCCC)c1ccccc1(C(=O)OCCCC),4.5 (EXPERIMENTAL value),4.61,4.5 (EXPERIMENTAL value),3.62,4.5 (EXPERIMENTAL value),4.2
528,Molecule 528,O=C(OCCCCCC)c1ccccc1(C(=O)OCCCCCC),6.82 (EXPERIMENTAL value),6.57,6.82 (EXPERIMENTAL value),4.56,6.82 (EXPERIMENTAL value),6.02
529,Molecule 529,O=C(OCCCCCCCCCC)c1ccccc1(C(=O)OCCCCCCCCCC),10.5 (LOW reliability),10.5,7.15 (LOW reliability),7.15,9.67 (LOW reliability),9.67
530,Molecule 530,O=S(=O)(O)c2ccc(O)c1ccccc12,-0.44 (EXPERIMENTAL value),-0.47,-0.44 (EXPERIMENTAL value),1.44,-0.44 (EXPERIMENTAL value),1.43
531,Molecule 531,c1ccc3c(c1)N(c2ccccc2S3)CC(C)CN(C)C,4.71 (EXPERIMENTAL value),4.96,4.71 (EXPERIMENTAL value),3.5,4.71 (EXPERIMENTAL value),4.52
532,Molecule 532,c1ccc3c(c1)N(c2ccccc2S3)CCCN4CCN(C)CC4,4 (EXPERIMENTAL value),4.13,4 (EXPERIMENTAL value),2.73,4 (EXPERIMENTAL value),4.03
533,Molecule 533,c1ccc3c(c1)ccc2ccccc23,4.46 (EXPERIMENTAL value),4.34,4.46 (EXPERIMENTAL value),4.25,4.46 (EXPERIMENTAL value),3.65
534,Molecule 534,n1cccc3c1ccc2ccccc23,3.43 (EXPERIMENTAL value),3.16,3.43 (EXPERIMENTAL value),2.97,3.43 (EXPERIMENTAL value),2.92
535,Molecule 535,O=C2c1[nH]c(nc1N(C(=O)N2C)C)Cl,0.86 (LOW reliability),0.86,0.06 (GOOD reliability),0.06,0.57 (MODERATE reliability),0.57
536,Molecule 536,O=C(O)Cc1c(ccc(c1Cl)Cl)Cl,3.2 (EXPERIMENTAL value),3.36,3.2 (EXPERIMENTAL value),3.48,3.2 (EXPERIMENTAL value),3.46
537,Molecule 537,O=C1NC(=O)c2ccccc12,1.15 (EXPERIMENTAL value),0.82,1.15 (EXPERIMENTAL value),0.84,1.15 (EXPERIMENTAL value),0.66
538,Molecule 538,O=C1OC(=O)c2ccccc12,1.6 (EXPERIMENTAL value),1.83,1.6 (EXPERIMENTAL value),1.66,1.6 (EXPERIMENTAL value),1.3
539,Molecule 539,O=[N+]([O-])c1cccc(N)c1(OC),1.78 (EXPERIMENTAL value),0.97,1.78 (EXPERIMENTAL value),1.09,1.78 (EXPERIMENTAL value),0.96
540,Molecule 540,O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC),4.73 (EXPERIMENTAL value),4.84,4.73 (EXPERIMENTAL value),4.09,4.73 (EXPERIMENTAL value),4.45
541,Molecule 541,O=C(NCCN(CC)CC)c2cc(nc1ccccc12)OCCCC,4.4 (EXPERIMENTAL value),3.88,4.4 (EXPERIMENTAL value),2.88,4.4 (EXPERIMENTAL value),3.91
542,Molecule 542,O=[N+]([O-])c2cc(OC)cc1cccnc12,1.87 (EXPERIMENTAL value),1.88,1.87 (EXPERIMENTAL value),1.61,1.87 (EXPERIMENTAL value),1.89
543,Molecule 543,c1ccc3c(c1)c2ccccc2n3CC,4.49 (EXPERIMENTAL value),4.27,4.49 (EXPERIMENTAL value),3.31,4.49 (EXPERIMENTAL value),3.88
544,Molecule 544,O=NN(c1ccccc1)c2ccccc2,3.13 (EXPERIMENTAL value),3.63,3.13 (EXPERIMENTAL value),3.22,3.13 (EXPERIMENTAL value),3.24
545,Molecule 545,O=C2NC(c1ccccc1)C(=O)N2CC,1.05 (EXPERIMENTAL value),2.33,1.05 (EXPERIMENTAL value),1.37,1.05 (EXPERIMENTAL value),1.22
546,Molecule 546,[Cl-].C[n+]1c2cc(N)ccc2cc2ccc(N)cc12,[Error],-,[Error],-,[Error],-
547,Molecule 547,O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S),2.75 (EXPERIMENTAL value),4,2.75 (EXPERIMENTAL value),0.64,2.75 (EXPERIMENTAL value),2.93
548,Molecule 548,n1nc(NN)c2ccccc2(c1),1 (EXPERIMENTAL value),-1.22,1 (EXPERIMENTAL value),1.52,1 (EXPERIMENTAL value),0.81
549,Molecule 549,O=C(O)c2cccc1ccccc12,3.1 (EXPERIMENTAL value),3.05,3.1 (EXPERIMENTAL value),2.78,3.1 (EXPERIMENTAL value),2.34
550,Molecule 550,c1ccc2c(c1)cccc2N(C)C,3.46 (EXPERIMENTAL value),3.35,3.46 (EXPERIMENTAL value),3.21,3.46 (EXPERIMENTAL value),2.9
551,Molecule 551,O=[N+]([O-])c2cccc1ccccc12,3.19 (EXPERIMENTAL value),2.99,3.19 (EXPERIMENTAL value),2.94,3.19 (EXPERIMENTAL value),2.63
552,Molecule 552,c1ccc3c(c1)c2ccccc2C3,4.18 (EXPERIMENTAL value),4.25,4.18 (EXPERIMENTAL value),4.15,4.18 (EXPERIMENTAL value),3.49
553,Molecule 553,c1ccc3c(c1)[nH]c2ccccc23,3.72 (EXPERIMENTAL value),3.23,3.72 (EXPERIMENTAL value),2.78,3.72 (EXPERIMENTAL value),3.32
554,Molecule 554,O=Cc1cc(OC)c(OC)c(OC)c1,1.39 (EXPERIMENTAL value),1.95,1.39 (EXPERIMENTAL value),0.73,1.39 (EXPERIMENTAL value),1.54
555,Molecule 555,O=C(O)Cc2cccc1ccccc12,2.24 (EXPERIMENTAL value),2.6,2.24 (EXPERIMENTAL value),2.79,2.24 (EXPERIMENTAL value),2.38
556,Molecule 556,NC(Nc2cccc1ccccc12)=S,1.65 (EXPERIMENTAL value),2.13,1.65 (EXPERIMENTAL value),2.37,1.65 (EXPERIMENTAL value),2.55
557,Molecule 557,O=C1NC(=O)c2ccccc2(N1),0.77 (EXPERIMENTAL value),1.39,0.77 (EXPERIMENTAL value),0.85,0.77 (EXPERIMENTAL value),0.56
558,Molecule 558,n1ccc(c2ccc(cc12)Cl)Cl,3.57 (EXPERIMENTAL value),3.27,3.57 (EXPERIMENTAL value),3.2,3.57 (EXPERIMENTAL value),3.35
559,Molecule 559,O=C(O)C3N2C(=O)C(NC(=O)COc1ccccc1)C2SC3(C)(C),2.09 (EXPERIMENTAL value),1.36,2.09 (EXPERIMENTAL value),1.33,2.09 (EXPERIMENTAL value),1.33
560,Molecule 560,O=C(Nc1ccccc1)c2ccccc2(O),3.27 (EXPERIMENTAL value),3.3,3.27 (EXPERIMENTAL value),2.54,3.27 (EXPERIMENTAL value),2.35
561,Molecule 561,O=C(OCC)c1ccccc1(N),1.4 (MODERATE reliability),1.4,1.78 (GOOD reliability),1.78,1.29 (MODERATE reliability),1.29
562,Molecule 562,O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12,1.31 (EXPERIMENTAL value),0.57,1.31 (EXPERIMENTAL value),-0.3,1.31 (EXPERIMENTAL value),0.53
563,Molecule 563,O(c1c(cc(cc1Cl)Cl)Cl)C,4.11 (EXPERIMENTAL value),4.01,4.11 (EXPERIMENTAL value),3.62,4.11 (EXPERIMENTAL value),3.81
564,Molecule 564,O=C1OCc2ccccc12,0.8 (EXPERIMENTAL value),1.77,0.8 (EXPERIMENTAL value),1.77,0.8 (EXPERIMENTAL value),1.44
565,Molecule 565,O=C(O)Cc2c[nH]c1ccccc12,1.41 (EXPERIMENTAL value),1.49,1.41 (EXPERIMENTAL value),1.38,1.41 (EXPERIMENTAL value),1.76
566,Molecule 566,c1cc(c(c(c1)Cl)Cl)Cl,3.93 (GOOD reliability),3.93,4.06 (GOOD reliability),4.06,3.82 (MODERATE reliability),3.82
567,Molecule 567,Nc1c(cccc1C)C,1.84 (EXPERIMENTAL value),2.17,1.84 (EXPERIMENTAL value),2.19,1.84 (EXPERIMENTAL value),2.06
568,Molecule 568,Oc1c(cccc1Cl)C,2.8 (EXPERIMENTAL value),2.7,2.8 (EXPERIMENTAL value),2.46,2.8 (EXPERIMENTAL value),2.71
569,Molecule 569,Oc1c(cccc1Cl)Cl,2.75 (EXPERIMENTAL value),2.8,2.75 (EXPERIMENTAL value),2.73,2.75 (EXPERIMENTAL value),2.89
570,Molecule 570,C(C(=C(Cl)Cl)Cl)(=C(Cl)Cl)Cl,4.78 (EXPERIMENTAL value),4.72,4.78 (EXPERIMENTAL value),3.66,4.78 (EXPERIMENTAL value),3.63
571,Molecule 571,c1(c(c(c(c(c1Br)Br)Br)Br)Br)Br,6.07 (EXPERIMENTAL value),7.33,6.07 (EXPERIMENTAL value),6,6.07 (EXPERIMENTAL value),6.32
572,Molecule 572,C1(C(C(C(C(C1Br)Br)Br)Br)Br)Cl,4.72 (EXPERIMENTAL value),4.71,4.72 (EXPERIMENTAL value),4.76,4.72 (EXPERIMENTAL value),4.89
573,Molecule 573,c1(c(c(c(c(c1C)C)C)C)C)C,5.11 (EXPERIMENTAL value),5.28,5.11 (EXPERIMENTAL value),4.13,5.11 (EXPERIMENTAL value),4.75
574,Molecule 574,Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl,5.12 (EXPERIMENTAL value),4.74,5.12 (EXPERIMENTAL value),3.91,5.12 (EXPERIMENTAL value),4.88
575,Molecule 575,O=C(OCC)C(O)C(O)C(=O)OCC,-0.29 (EXPERIMENTAL value),-1.28,-0.29 (EXPERIMENTAL value),-0.44,-0.29 (EXPERIMENTAL value),-0.3
576,Molecule 576,Oc1cc(c(c(c1)C)Cl)C,3.27 (EXPERIMENTAL value),3.25,3.27 (EXPERIMENTAL value),2.78,3.27 (EXPERIMENTAL value),3.2
577,Molecule 577,Oc1c(cc(cc1Cl)Cl)Cl,3.69 (EXPERIMENTAL value),3.45,3.69 (EXPERIMENTAL value),3.31,3.69 (EXPERIMENTAL value),3.56
578,Molecule 578,O=C(O)C(CC)CC,1.68 (EXPERIMENTAL value),1.98,1.68 (EXPERIMENTAL value),1.37,1.68 (EXPERIMENTAL value),1.81
579,Molecule 579,O=C1N(C=C)CCC1,0.37 (EXPERIMENTAL value),0.25,0.37 (EXPERIMENTAL value),0.47,0.37 (EXPERIMENTAL value),-0.08
580,Molecule 580,O=C(O)c1ccsc1,1.5 (EXPERIMENTAL value),1.69,1.5 (EXPERIMENTAL value),0.67,1.5 (EXPERIMENTAL value),1.1
581,Molecule 581,O=C(O)c1occc1,0.64 (EXPERIMENTAL value),1.24,0.64 (EXPERIMENTAL value),-0.17,0.64 (EXPERIMENTAL value),0.83
582,Molecule 582,O=C(c1cccs1)C,1.25 (EXPERIMENTAL value),1.49,1.25 (EXPERIMENTAL value),0.85,1.25 (EXPERIMENTAL value),1.52
583,Molecule 583,FC(F)(F)c1ccccc1Cl,3.53 (EXPERIMENTAL value),3.6,3.53 (EXPERIMENTAL value),3.95,3.53 (EXPERIMENTAL value),3.44
584,Molecule 584,FC(F)(F)c1ccccc1(N),2.41 (EXPERIMENTAL value),2.04,2.41 (EXPERIMENTAL value),2.62,2.41 (EXPERIMENTAL value),2.03
585,Molecule 585,Oc1ccccc1C(C)(C)C,3.31 (EXPERIMENTAL value),3.42,3.31 (EXPERIMENTAL value),2.81,3.31 (EXPERIMENTAL value),2.96
586,Molecule 586,O=S(=O)(N)c1ccccc1C,0.84 (EXPERIMENTAL value),0.92,0.84 (EXPERIMENTAL value),1.18,0.84 (EXPERIMENTAL value),1.14
587,Molecule 587,O=S(=O)(O)c1ccc(N)cc1(N),-3 (LOW reliability),-3,-0.23 (LOW reliability),-0.23,-0.7 (LOW reliability),-0.7
588,Molecule 588,O=C(O)c1ccccc1Br,2.2 (EXPERIMENTAL value),2.76,2.2 (EXPERIMENTAL value),2.46,2.2 (EXPERIMENTAL value),2.18
589,Molecule 589,O=C(O)c1ccccc1I,2.4 (EXPERIMENTAL value),3.04,2.4 (EXPERIMENTAL value),2.62,2.4 (EXPERIMENTAL value),2.01
590,Molecule 590,O=C(N)c1ccccc1(N),0.35 (EXPERIMENTAL value),-0.18,0.35 (EXPERIMENTAL value),0.73,0.35 (EXPERIMENTAL value),0.09
591,Molecule 591,Oc1ccccc1C(C)C,2.88 (EXPERIMENTAL value),2.97,2.88 (EXPERIMENTAL value),2.51,2.88 (EXPERIMENTAL value),2.76
592,Molecule 592,O=[N+]([O-])c1ccccc1C,2.36 (GOOD reliability),2.36,2.15 (MODERATE reliability),2.15,2.21 (GOOD reliability),2.21
593,Molecule 593,O=[N+]([O-])c1ccccc1Cl,2.46 (GOOD reliability),2.46,2.42 (GOOD reliability),2.42,2.39 (GOOD reliability),2.39
594,Molecule 594,O=[N+]([O-])c1ccccc1(N),0.89 (LOW reliability),0.89,1.26 (MODERATE reliability),1.26,0.98 (LOW reliability),0.98
595,Molecule 595,O=[N+]([O-])c1ccccc1(O),1.79 (EXPERIMENTAL value),1.33,1.79 (EXPERIMENTAL value),1.26,1.79 (EXPERIMENTAL value),1.46
596,Molecule 596,O=[N+]([O-])c1cc(c(O)c(c1)C(C)CC)[N+](=O)[O-],3.56 (EXPERIMENTAL value),3.1,3.56 (EXPERIMENTAL value),2.53,3.56 (EXPERIMENTAL value),3
597,Molecule 597,O=[N+]([O-])c1cc(c(O)c(c1)[N+](=O)[O-])[N+](=O)[O-],1.33 (EXPERIMENTAL value),0.97,1.33 (EXPERIMENTAL value),1.28,1.33 (EXPERIMENTAL value),1.25
598,Molecule 598,O=C(N)c1ccccc1(C(=O)N),-1.73 (EXPERIMENTAL value),-0.52,-1.73 (EXPERIMENTAL value),0.57,-1.73 (EXPERIMENTAL value),-0.17
599,Molecule 599,O=C(O)c1ccccc1(C(=O)O),0.73 (EXPERIMENTAL value),1.41,0.73 (EXPERIMENTAL value),1.38,0.73 (EXPERIMENTAL value),1.04
600,Molecule 600,O=C1NC(=O)C(N1)c2ccccc2,0.46 (EXPERIMENTAL value),1.63,0.46 (EXPERIMENTAL value),0.77,0.46 (EXPERIMENTAL value),0.67
601,Molecule 601,O=C(O)c1ccccc1(NC(=O)C),1.88 (EXPERIMENTAL value),0.98,1.88 (EXPERIMENTAL value),1.3,1.88 (EXPERIMENTAL value),0.55
602,Molecule 602,O=C(O)c1cc(ccc1(O))Br,3.23 (EXPERIMENTAL value),4.25,3.23 (EXPERIMENTAL value),1.89,3.23 (EXPERIMENTAL value),1.92
603,Molecule 603,O=C(O)c1cc(ccc1(O))C,2.78 (EXPERIMENTAL value),3.91,2.78 (EXPERIMENTAL value),1.47,2.78 (EXPERIMENTAL value),1.65
604,Molecule 604,O=[N+]([O-])c1cc(ccc1C)Cl,3.05 (EXPERIMENTAL value),3,3.05 (EXPERIMENTAL value),2.75,3.05 (EXPERIMENTAL value),2.88
605,Molecule 605,O=[N+]([O-])c1cc(ccc1Cl)Cl,3.09 (EXPERIMENTAL value),3.1,3.09 (EXPERIMENTAL value),3.02,3.09 (EXPERIMENTAL value),3.05
606,Molecule 606,O=[N+]([O-])c1cc(ccc1(N))Cl,2.72 (EXPERIMENTAL value),1.54,2.72 (EXPERIMENTAL value),1.88,2.72 (EXPERIMENTAL value),1.64
607,Molecule 607,O=[N+]([O-])c1cc(ccc1(O))Cl,2.46 (EXPERIMENTAL value),1.97,2.46 (EXPERIMENTAL value),1.88,2.46 (EXPERIMENTAL value),2.12
608,Molecule 608,Oc1cc(c(cc1C(C)C)Cl)C,3.92 (EXPERIMENTAL value),4.16,3.92 (EXPERIMENTAL value),3.37,3.92 (EXPERIMENTAL value),3.91
609,Molecule 609,O=[N+]([O-])c1cc(c(cc1Cl)Cl)Cl,3.74 (GOOD reliability),3.74,3.6 (GOOD reliability),3.6,3.72 (GOOD reliability),3.72
610,Molecule 610,O=C(OC)c1ccccc1C,2.75 (EXPERIMENTAL value),2.38,2.75 (EXPERIMENTAL value),2.35,2.75 (EXPERIMENTAL value),2.17
611,Molecule 611,Oc1ccccc1C(C)CC,3.27 (EXPERIMENTAL value),3.46,3.27 (EXPERIMENTAL value),2.81,3.27 (EXPERIMENTAL value),3.21
612,Molecule 612,OC1CC(C)CCC1(C(C)C),3.33 (EXPERIMENTAL value),3.38,3.33 (EXPERIMENTAL value),2.5,3.33 (EXPERIMENTAL value),2.78
613,Molecule 613,O=C1C=C(C)CCC1C(C)C,2.85 (EXPERIMENTAL value),2.78,2.85 (EXPERIMENTAL value),2.25,2.85 (EXPERIMENTAL value),2.77
614,Molecule 614,O=C1C(=C(C)C)CCC(C)C1,3.08 (EXPERIMENTAL value),2.91,3.08 (EXPERIMENTAL value),2.25,3.08 (EXPERIMENTAL value),2.75
615,Molecule 615,Oc1cc(ccc1C(C)C)C,3.52 (GOOD reliability),3.52,2.81 (MODERATE reliability),2.81,3.24 (GOOD reliability),3.24
616,Molecule 616,O=C(O)c1ccc(O)cc1(O),2.88 (LOW reliability),2.88,0.59 (LOW reliability),0.59,0.9 (LOW reliability),0.9
617,Molecule 617,O=Cc1ccccc1Cl,2.35 (GOOD reliability),2.35,2.1 (GOOD reliability),2.1,2.25 (GOOD reliability),2.25
618,Molecule 618,Oc1ccccc1CC,2.47 (EXPERIMENTAL value),2.55,2.47 (EXPERIMENTAL value),2.19,2.47 (EXPERIMENTAL value),2.5
619,Molecule 619,Oc1ccccc1CO,0.73 (EXPERIMENTAL value),0.6,0.73 (EXPERIMENTAL value),0.98,0.73 (EXPERIMENTAL value),0.96
620,Molecule 620,O=Cc1ccccc1(O),1.81 (EXPERIMENTAL value),2.01,1.81 (EXPERIMENTAL value),0.89,1.81 (EXPERIMENTAL value),1.32
621,Molecule 621,O(c1ccccc1(N))C,1.18 (EXPERIMENTAL value),1.16,1.18 (EXPERIMENTAL value),1.25,1.18 (EXPERIMENTAL value),1.07
622,Molecule 622,Oc1ccccc1(OC),1.32 (EXPERIMENTAL value),1.59,1.32 (EXPERIMENTAL value),1.25,1.32 (EXPERIMENTAL value),1.55
623,Molecule 623,c1ccc2c(c1)cccc2C,3.87 (EXPERIMENTAL value),3.72,3.87 (EXPERIMENTAL value),3.68,3.87 (EXPERIMENTAL value),3.22
624,Molecule 624,c1ccc2c(c1)cccc2Cl,3.9 (EXPERIMENTAL value),3.81,3.9 (EXPERIMENTAL value),3.95,3.9 (EXPERIMENTAL value),3.4
625,Molecule 625,Oc1cccc2ccccc12,2.85 (EXPERIMENTAL value),2.69,2.85 (EXPERIMENTAL value),2.64,2.85 (EXPERIMENTAL value),2.47
626,Molecule 626,O=C1N=NNc2ccccc12,2.74 (LOW reliability),2.74,0.92 (MODERATE reliability),0.92,1.21 (MODERATE reliability),1.21
627,Molecule 627,c1ccc(cc1)Nc3cccc2ccccc23,4.2 (EXPERIMENTAL value),4.47,4.2 (EXPERIMENTAL value),4.28,4.2 (EXPERIMENTAL value),4.29
628,Molecule 628,O=C2Oc1cc(O)ccc1C(=C2)C,1.9 (EXPERIMENTAL value),1.88,1.9 (EXPERIMENTAL value),1.73,1.9 (EXPERIMENTAL value),2.08
629,Molecule 629,Nc1ccccc1c2ccccc2,2.84 (EXPERIMENTAL value),2.84,2.84 (EXPERIMENTAL value),3.13,2.84 (EXPERIMENTAL value),2.6
